countryName,pollutant,reportingYear,emissions
Austria,"1,2-dichloroethane (DCE-1,2)",2007,3300
Austria,Ammonia (NH3),2007,235400
Austria,Benzene,2007,6050
Austria,Cadmium and compounds (as Cd),2007,15.3
Austria,Carbon dioxide (CO2),2007,34438000000
Austria,Carbon monoxide (CO),2007,163261000
Austria,Chlorine and inorganic compounds (as HCl),2007,38200
Austria,Chromium and compounds (as Cr),2007,268
Austria,Copper and compounds (as Cu),2007,380
Austria,Dichloromethane (DCM),2007,13000
Austria,Hydrochlorofluorocarbons (HCFCs),2007,1169
Austria,Hydrogen cyanide (HCN),2007,2426
Austria,Lead and compounds (as Pb),2007,2679
Austria,Mercury and compounds (as Hg),2007,461.8
Austria,Methane (CH4),2007,20953000
Austria,Nickel and compounds (as Ni),2007,399
Austria,Nitrogen oxides (NOX),2007,25087000
Austria,Nitrous oxide (N2O),2007,920200
Austria,Non-methane volatile organic compounds (NMVOC),2007,3457000
Austria,Particulate matter (PM10),2007,1177300
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2007,0.00232
Austria,Polycyclic aromatic hydrocarbons (PAHs),2007,75.8
Austria,Sulphur oxides (SOX),2007,11475000
Austria,Zinc and compounds (as Zn),2007,18820
Austria,"1,2-dichloroethane (DCE-1,2)",2008,3310
Austria,Ammonia (NH3),2008,282900
Austria,Benzene,2008,7880
Austria,Carbon dioxide (CO2),2008,36093000000
Austria,Carbon monoxide (CO),2008,144793000
Austria,Chlorine and inorganic compounds (as HCl),2008,40100
Austria,Chromium and compounds (as Cr),2008,389
Austria,Copper and compounds (as Cu),2008,380
Austria,Dichloromethane (DCM),2008,10100
Austria,Hydrochlorofluorocarbons (HCFCs),2008,1217
Austria,Hydro-fluorocarbons (HFCS),2008,242
Austria,Hydrogen cyanide (HCN),2008,2396
Austria,Lead and compounds (as Pb),2008,1636
Austria,Mercury and compounds (as Hg),2008,334.79999999999995
Austria,Methane (CH4),2008,18584000
Austria,Nickel and compounds (as Ni),2008,352
Austria,Nitrogen oxides (NOX),2008,22873000
Austria,Nitrous oxide (N2O),2008,1098600
Austria,Non-methane volatile organic compounds (NMVOC),2008,3206000
Austria,Particulate matter (PM10),2008,863800
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2008,0.00176
Austria,Polycyclic aromatic hydrocarbons (PAHs),2008,135
Austria,Sulphur oxides (SOX),2008,7599000
Austria,Zinc and compounds (as Zn),2008,12140
Austria,"1,2-dichloroethane (DCE-1,2)",2009,2550
Austria,Ammonia (NH3),2009,231700
Austria,Benzene,2009,9070
Austria,Carbon dioxide (CO2),2009,31093000000
Austria,Carbon monoxide (CO),2009,134999000
Austria,Chlorine and inorganic compounds (as HCl),2009,40900
Austria,Copper and compounds (as Cu),2009,458
Austria,Dichloromethane (DCM),2009,12000
Austria,Hydrochlorofluorocarbons (HCFCs),2009,1703
Austria,Hydro-fluorocarbons (HFCS),2009,351
Austria,Hydrogen cyanide (HCN),2009,1193
Austria,Lead and compounds (as Pb),2009,834
Austria,Mercury and compounds (as Hg),2009,255.1
Austria,Methane (CH4),2009,13526000
Austria,Nickel and compounds (as Ni),2009,177
Austria,Nitrogen oxides (NOX),2009,19103000
Austria,Nitrous oxide (N2O),2009,565300
Austria,Non-methane volatile organic compounds (NMVOC),2009,2790000
Austria,Particulate matter (PM10),2009,707600
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2009,0.00137
Austria,Polycyclic aromatic hydrocarbons (PAHs),2009,93
Austria,Sulphur oxides (SOX),2009,6530000
Austria,Zinc and compounds (as Zn),2009,6664
Austria,"1,2-dichloroethane (DCE-1,2)",2010,3220
Austria,Ammonia (NH3),2010,194600
Austria,Benzene,2010,3800
Austria,Cadmium and compounds (as Cd),2010,14.6
Austria,Carbon dioxide (CO2),2010,34920000000
Austria,Carbon monoxide (CO),2010,124908000
Austria,Chlorine and inorganic compounds (as HCl),2010,33100
Austria,Chromium and compounds (as Cr),2010,871
Austria,Copper and compounds (as Cu),2010,458
Austria,Dichloromethane (DCM),2010,6650
Austria,Hydrochlorofluorocarbons (HCFCs),2010,652
Austria,Hydro-fluorocarbons (HFCS),2010,314
Austria,Hydrogen cyanide (HCN),2010,846
Austria,Lead and compounds (as Pb),2010,1415
Austria,Mercury and compounds (as Hg),2010,331.8
Austria,Methane (CH4),2010,13735000
Austria,Nickel and compounds (as Ni),2010,716
Austria,Nitrogen oxides (NOX),2010,20383000
Austria,Nitrous oxide (N2O),2010,237400
Austria,Non-methane volatile organic compounds (NMVOC),2010,3131000
Austria,Particulate matter (PM10),2010,1138900
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2010,0.00164
Austria,Polycyclic aromatic hydrocarbons (PAHs),2010,124
Austria,Sulphur oxides (SOX),2010,8061000
Austria,Zinc and compounds (as Zn),2010,9934
Austria,"1,2-dichloroethane (DCE-1,2)",2011,2820
Austria,Ammonia (NH3),2011,210200
Austria,Benzene,2011,4240
Austria,Cadmium and compounds (as Cd),2011,17.1
Austria,Carbon dioxide (CO2),2011,34429000000
Austria,Carbon monoxide (CO),2011,136169000
Austria,Chlorine and inorganic compounds (as HCl),2011,70700
Austria,Chromium and compounds (as Cr),2011,200
Austria,Copper and compounds (as Cu),2011,488
Austria,Dichloromethane (DCM),2011,9680
Austria,Fluorine and inorganic compounds (as HF),2011,7000
Austria,Hydrochlorofluorocarbons (HCFCs),2011,293
Austria,Hydro-fluorocarbons (HFCS),2011,177
Austria,Hydrogen cyanide (HCN),2011,846
Austria,Lead and compounds (as Pb),2011,1769
Austria,Mercury and compounds (as Hg),2011,327.1
Austria,Methane (CH4),2011,13277000
Austria,Nickel and compounds (as Ni),2011,284
Austria,Nitrogen oxides (NOX),2011,19241000
Austria,Nitrous oxide (N2O),2011,187500
Austria,Non-methane volatile organic compounds (NMVOC),2011,3209000
Austria,Particulate matter (PM10),2011,1296100
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2011,0.00139
Austria,Sulphur oxides (SOX),2011,7437000
Austria,Zinc and compounds (as Zn),2011,8490
Austria,"1,2-dichloroethane (DCE-1,2)",2012,2970
Austria,Ammonia (NH3),2012,169800
Austria,Benzene,2012,4240
Austria,Cadmium and compounds (as Cd),2012,40.1
Austria,Carbon dioxide (CO2),2012,33946000000
Austria,Carbon monoxide (CO),2012,137505000
Austria,Chlorine and inorganic compounds (as HCl),2012,65100
Austria,Chromium and compounds (as Cr),2012,200
Austria,Copper and compounds (as Cu),2012,410
Austria,Dichloromethane (DCM),2012,15800
Austria,Fluorine and inorganic compounds (as HF),2012,6220
Austria,Hydrochlorofluorocarbons (HCFCs),2012,279
Austria,Hydro-fluorocarbons (HFCS),2012,268
Austria,Hydrogen cyanide (HCN),2012,846
Austria,Lead and compounds (as Pb),2012,1541
Austria,Mercury and compounds (as Hg),2012,348.8
Austria,Methane (CH4),2012,11387000
Austria,Nickel and compounds (as Ni),2012,303
Austria,Nitrogen oxides (NOX),2012,18595000
Austria,Nitrous oxide (N2O),2012,201800
Austria,Non-methane volatile organic compounds (NMVOC),2012,3204000
Austria,Particulate matter (PM10),2012,1349700
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2012,0.00153
Austria,Sulphur oxides (SOX),2012,7779000
Austria,Zinc and compounds (as Zn),2012,8960
Austria,"1,2-dichloroethane (DCE-1,2)",2013,2970
Austria,Ammonia (NH3),2013,147100
Austria,Benzene,2013,4010
Austria,Cadmium and compounds (as Cd),2013,27.2
Austria,Carbon dioxide (CO2),2013,32572000000
Austria,Carbon monoxide (CO),2013,144702000
Austria,Chlorine and inorganic compounds (as HCl),2013,155200
Austria,Chromium and compounds (as Cr),2013,150
Austria,Copper and compounds (as Cu),2013,450
Austria,Dichloromethane (DCM),2013,18000
Austria,Fluorine and inorganic compounds (as HF),2013,6140
Austria,Hydrochlorofluorocarbons (HCFCs),2013,552
Austria,Hydro-fluorocarbons (HFCS),2013,263
Austria,Hydrogen cyanide (HCN),2013,846
Austria,Lead and compounds (as Pb),2013,2723
Austria,Mercury and compounds (as Hg),2013,347.7
Austria,Methane (CH4),2013,10477000
Austria,Nickel and compounds (as Ni),2013,297.4
Austria,Nitrogen oxides (NOX),2013,17371000
Austria,Nitrous oxide (N2O),2013,201900
Austria,Non-methane volatile organic compounds (NMVOC),2013,3221000
Austria,Particulate matter (PM10),2013,1435400
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2013,0.00162
Austria,Polycyclic aromatic hydrocarbons (PAHs),2013,126
Austria,Sulphur oxides (SOX),2013,7169000
Austria,Zinc and compounds (as Zn),2013,13835
Austria,"1,2-dichloroethane (DCE-1,2)",2014,3160
Austria,Ammonia (NH3),2014,161800
Austria,Benzene,2014,3910
Austria,Cadmium and compounds (as Cd),2014,15.5
Austria,Carbon dioxide (CO2),2014,30836000000
Austria,Carbon monoxide (CO),2014,152779000
Austria,Chlorine and inorganic compounds (as HCl),2014,126300
Austria,Copper and compounds (as Cu),2014,101
Austria,Dichloromethane (DCM),2014,8100
Austria,Fluorine and inorganic compounds (as HF),2014,8660
Austria,Hydrochlorofluorocarbons (HCFCs),2014,633
Austria,Hydro-fluorocarbons (HFCS),2014,724
Austria,Hydrogen cyanide (HCN),2014,846
Austria,Lead and compounds (as Pb),2014,2504
Austria,Mercury and compounds (as Hg),2014,408.7
Austria,Methane (CH4),2014,9247000
Austria,Naphthalene,2014,849
Austria,Nickel and compounds (as Ni),2014,236
Austria,Nitrogen oxides (NOX),2014,16146000
Austria,Nitrous oxide (N2O),2014,192600
Austria,Non-methane volatile organic compounds (NMVOC),2014,3639000
Austria,Particulate matter (PM10),2014,1462900
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2014,0.0019590000000000002
Austria,Polycyclic aromatic hydrocarbons (PAHs),2014,119
Austria,Sulphur oxides (SOX),2014,7349000
Austria,Zinc and compounds (as Zn),2014,12389
Austria,"1,2-dichloroethane (DCE-1,2)",2015,3170
Austria,Ammonia (NH3),2015,321500
Austria,Arsenic and compounds (as As),2015,23
Austria,Benzene,2015,3820
Austria,Cadmium and compounds (as Cd),2015,40.9
Austria,Carbon dioxide (CO2),2015,32719000000
Austria,Carbon monoxide (CO),2015,164138000
Austria,Chlorine and inorganic compounds (as HCl),2015,146500
Austria,Copper and compounds (as Cu),2015,694
Austria,Dichloromethane (DCM),2015,17500
Austria,Hydro-fluorocarbons (HFCS),2015,290
Austria,Hydrogen cyanide (HCN),2015,846
Austria,Lead and compounds (as Pb),2015,2624
Austria,Mercury and compounds (as Hg),2015,540.9
Austria,Methane (CH4),2015,8848000
Austria,Naphthalene,2015,101
Austria,Nickel and compounds (as Ni),2015,420.2
Austria,Nitrogen oxides (NOX),2015,17009000
Austria,Nitrous oxide (N2O),2015,194500
Austria,Non-methane volatile organic compounds (NMVOC),2015,4290000
Austria,Particulate matter (PM10),2015,1509000
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2015,0.00125
Austria,Polycyclic aromatic hydrocarbons (PAHs),2015,109
Austria,Sulphur oxides (SOX),2015,7032000
Austria,Zinc and compounds (as Zn),2015,15517
Austria,"1,2-dichloroethane (DCE-1,2)",2016,3300
Austria,Ammonia (NH3),2016,156300
Austria,Arsenic and compounds (as As),2016,20.1
Austria,Benzene,2016,3760
Austria,Cadmium and compounds (as Cd),2016,136.5
Austria,Carbon dioxide (CO2),2016,31893000000
Austria,Carbon monoxide (CO),2016,161331000
