Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1005184,110041963266,ALYESKA PIPELINE SE/TAPS PUMP STATION 01,PRUDHOE BAY,AK,99734,,NORTH SLOPE BOROUGH,70.26,-148.62,486110,C,Other,"63,920.46","56,021.94","62,235.32","62,235.42","62,664.06","85,080.13","91,022.79","92,324.57","91,589.03","92,640.20"
1005781,110064041834,"ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal",VALDEZ,AK,99686,300 DAYVILLE ROAD,VALDEZ-CORDOVA CENSUS AREA,61.08,-146.39,486110,C,Other,"26,580.02","26,807.41","29,009.72","27,560.35","33,640.12","35,499.84","80,079.61","100,292.59","90,501.03","75,499.39"
1007341,110034176692,ANCHORAGE REGIONAL LANDFILL,EAGLE RIVER,AK,99577,15500 E. EAGLE RIVER LOOP RD,ANCHORAGE MUNICIPALITY,61.29,-149.60,562212,"C,HH",Waste,"126,256.15","170,622.05","173,166.80","631,853.65","533,817.30","500,006.30","515,510.20","440,102.50","342,506.30","372,373.12"
1010624,110002003153,Akutan Seafood Processing Facility,Akutan,AK,99553,73 Salmon Way,ALEUTIANS EAST BOROUGH,54.13,-165.79,311710,C,Other,"50,186.07","47,920.77","49,749.93","49,049.20","52,174.85","50,711.87","52,024.60","52,318.95","50,747.61","43,930.30"
1010937,110013681809,"Alaska Village Electric Cooperative, Inc.",Anchorage,AK,99503,4831 Eagle Street,ANCHORAGE MUNICIPALITY,61.18,-149.88,221112,C,Power Plants,"31,310.89","30,660.05","30,331.50","30,858.10","30,806.20","31,204.00","31,571.39","32,166.98","32,922.71","31,689.48"
1001756,110007920116,Anna Platform,Anchorage,AK,99503,,KENAI PENINSULA,60.98,-151.32,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,,"21,102.40","22,328.22","20,823.26","24,842.22","23,265.97","25,869.18","40,337.19",,
1005395,110045587584,BARROW UTILITIES & ELECTRIC,BARROW,AK,99723,1295 AGVIK STREET,NORTH SLOPE BOROUGH,71.29,-156.78,221112,C,Power Plants,"43,488.84","42,777.09","43,454.69","43,774.88","43,584.29","43,586.28","43,785.73","43,545.58","43,405.74","42,772.29"
1005268,110028038923,BERNICE LAKE,NIKISKI,AK,99635,55244 CHEVRON REFINERY ROAD,KENAI PENINSULA BOROUGH,60.69,-151.39,221112,C,Power Plants,"5,834.23","18,370.08","1,286.00",160.80,398.25,935.60,"21,169.82","35,410.52","47,938.52","34,064.88"
1001799,110064434278,BPXA FLOW STATION #1,Prudhoe Bay,AK,99734,,NORTH SLOPE,70.26,-148.44,211111,C,Petroleum and Natural Gas Systems,,,,,,"385,444.70","418,802.82","514,045.77","439,726.20","476,945.30"
1001800,110028069550,BPXA FLOW STATION #2,Prudhoe Bay,AK,99734,,NORTH SLOPE,70.27,-148.33,211111,C,Petroleum and Natural Gas Systems,,,,,,"453,913.03","488,982.42","419,453.70","494,475.74","471,588.93"
1001872,110010382585,BPXA FLOW STATION #3,Prudhoe Bay,AK,99734,,NORTH SLOPE,70.25,-148.57,211111,C,Petroleum and Natural Gas Systems,,,,,,"606,553.69","540,655.83","572,843.92","602,277.11","545,827.85"
1001873,110040976593,BPXA GATHERING CENTER #1,Prudhoe Bay,AK,99734,,NORTH SLOPE,70.31,-148.73,211111,C,Petroleum and Natural Gas Systems,,,,,,"406,471.02","475,442.26","479,107.15","415,801.59","481,296.63"
1001874,110041242599,BPXA GATHERING CENTER #2,Prudhoe Bay,AK,99734,,NORTH SLOPE,70.31,-148.86,211111,C,Petroleum and Natural Gas Systems,,,,,,"374,232.29","325,269.37","403,502.08","416,840.27","384,159.50"
1001875,110040976664,BPXA GATHERING CENTER #3,Prudhoe Bay,AK,99734,,NORTH SLOPE,70.28,-148.68,211111,C,Petroleum and Natural Gas Systems,,,,,,"302,850.31","298,705.52","291,553.75","300,963.76","276,786.20"
1013951,110013912365,Bethel Power Plant,Bethel,AK,99559,1340 Kwethluk Lane,BETHEL CENSUS AREA,60.79,-161.79,221112,C,Power Plants,"31,385.84",,,,,,,,,
1001649,110067215882,CENTRAL COMPRESSOR PLANT,Prudhoe Bay,AK,99734,,NORTH SLOPE BOROUGH,70.32,-148.50,211120,"C,W-PROC",Petroleum and Natural Gas Systems,"3,004,082.12","2,890,690.63","2,892,315.45","2,816,596.32","2,893,673.68","2,767,896.71","2,881,196.06","2,871,960.62","2,651,381.01","2,744,719.16"
1001650,110067215864,CENTRAL GAS FACILITY,Prudhoe Bay,AK,99734,,NORTH SLOPE BOROUGH,70.32,-148.52,211120,"C,W-PROC",Petroleum and Natural Gas Systems,"1,979,598.42","2,026,974.21","2,057,255.26","1,990,262.04","2,021,821.80","2,011,855.30","1,736,646.69","1,968,854.07","1,960,479.13","1,923,304.30"
1005349,110044228289,CENTRAL PENINSULA BALING FACILITY-SOLDOTNA LF,SOLDOTNA,AK,99669,98.5 STERLING HWY.,KENAI PENINSULA BOROUGH,60.44,-151.11,562212,"C,HH",Waste,"54,221.54","53,358.05","53,028.59","52,632.45","50,910.30","55,202.80","55,063.94","52,830.50","51,725.00","51,369.30"
1001651,110070081803,CENTRAL POWER STATION,Prudhoe Bay,AK,99734,,NORTH SLOPE BOROUGH,70.28,-148.66,211120,C,Petroleum and Natural Gas Systems,"781,716.51","771,315.00","734,150.38","745,027.14","740,463.65","780,970.42","758,013.90","815,117.39","822,474.39","780,508.16"
1004719,110041255012,CHENA POWER PLANT,FAIRBANKS,AK,99701,1206 1ST AVE,FAIRBANKS NORTH STAR BOROUGH,64.85,-147.73,221330,C,Power Plants,"331,275.13","335,218.55","321,500.94","314,164.74","334,019.09","331,719.04","328,081.70","321,806.70","328,261.76","350,029.07"
1005267,110010382629,CHUGACH - BELUGA RIVER POWER PLANT,Beluga,AK,99695,,KENAI PENINSULA BOROUGH,61.19,-151.04,221112,C,Power Plants,"23,856.86","67,019.45","44,099.18","129,783.57","87,757.73","292,756.01","707,898.75","813,080.70","1,146,868.19","1,301,239.71"
1007791,110002151340,CLEAR AIR FORCE STATION,CLEAR AIR STATION,AK,99704,200 A Street Stop 1,DENALI BOROUGH,64.29,-149.16,221112,C,Power Plants,"5,748.51","6,706.39","4,882.17","4,953.82","6,201.18","97,758.96","89,429.80","89,909.13","86,701.83","85,954.50"
1004974,110070081908,COPPER VALLEY ELECTRIC ASSOC (CoGen),Valdez,AK,99686,,VALDEZ-CORDOVA CENSUS AREA,61.08,-146.30,221112,C,Power Plants,"18,232.28","16,764.31","16,006.02","20,272.19","16,636.56","19,623.96","19,371.51","15,646.27","26,760.13","15,952.72"
1006838,110067216079,"CRUDE OIL TOPPING UNIT, PRUDHOE BAY OPERATIONS CENTER, TARMAC CAMP",Prudhoe Bay,AK,99734,,NORTH SLOPE BOROUGH,70.25,-148.35,211120,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries","20,635.56","20,413.16","22,240.95","23,580.50","23,699.75","28,567.63","26,886.20","28,618.63","27,774.63","29,288.23"
1010389,110012445657,Capitol Disposal Landfill,Juneau,AK,99801,5600 Tonsgard Court,JUNEAU CITY AND BOROUGH,58.35,-134.50,562212,"C,HH",Waste,"7,344.24","12,443.34","11,631.39","11,695.39","16,286.34","13,579.64","40,570.14","36,618.34","78,069.53","17,385.15"
1007526,110055091699,Coeur Alaska Inc Kensington Gold Mine,Juneau,AK,99801,58.840829 North 135.044064 West,JUNEAU CITY AND BOROUGH,58.87,-135.10,212221,C,Other,"45,006.12","40,687.14","37,605.34","37,948.87","34,495.29","33,288.15","32,330.27","32,485.27","27,238.30","25,731.88"
1005789,110063104670,ConocoPhillips Alaska Inc - KRU CPF1,North Slope,AK,00000,,NORTH SLOPE BOROUGH,70.32,-149.61,211120,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries","490,728.70","548,907.32","559,895.99","556,345.81","527,827.63","531,887.90","525,680.15","508,247.13","530,579.89","531,053.07"
1004422,110063104670,ConocoPhillips Alaska Inc - KRU CPF2,North Slope,AK,00000,,NORTH SLOPE BOROUGH,70.29,-149.89,211120,C,Petroleum and Natural Gas Systems,"356,149.66","411,757.65","403,745.38","409,212.21","403,872.28","402,551.63","375,513.69","342,683.71","326,402.92","361,742.19"
1004998,110070081909,ConocoPhillips Alaska Inc - KRU CPF3,North Slope,AK,00000,,NORTH SLOPE BOROUGH,70.40,-149.82,211120,C,Petroleum and Natural Gas Systems,"300,758.57","311,368.38","326,384.07","330,327.66","323,277.43","318,928.65","311,777.68","324,522.28","322,306.28","313,822.42"
1005001,110070081910,ConocoPhillips Alaska Inc - KRU STP,North Slope,AK,00000,,NORTH SLOPE BOROUGH,70.51,-149.87,211120,C,Petroleum and Natural Gas Systems,"93,754.90","90,838.11","93,078.10","96,875.78","87,432.32","90,229.06","71,703.43","79,851.20","78,111.76","89,464.61"
1001940,110007920884,Dolly Varden Platform,Anchorage,AK,99503,,KENAI PENINSULA,60.81,-151.64,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"43,763.88","50,205.22","52,071.38","85,813.46","94,502.97","112,495.48","126,825.96","121,907.59","127,840.62","56,320.67"
1008060,110064048926,Dutch Harbor Power House,Unalaska,AK,99685,1732 East Point Rd,ALEUTIANS WEST CENSUS AREA,53.89,-166.54,221112,C,Power Plants,"28,152.84","35,763.07","36,601.31","38,764.92","31,610.29","30,900.15","31,674.99","30,128.71","29,384.27","29,618.02"
1006146,110041255003,EIELSON AIR FORCE BASE,EIELSON AFB,AK,99702,"2310 CENTRAL AVE, SUITE 100",FAIRBANKS NORTH STAR BOROUGH,64.67,-147.05,928110,C,Other,"393,852.11","375,597.35","361,317.95","374,720.53","363,341.59","362,228.40","345,178.36","341,930.16","363,907.42","360,981.32"
1001737,110008972594,ENDICOTT PRODUCTION FACILITY,Prudhoe Bay,AK,99734,,NORTH SLOPE BOROUGH,70.36,-147.96,211130,"C,W-PROC",Petroleum and Natural Gas Systems,"637,114.30","610,769.40","594,501.42","586,146.62","622,775.43","718,111.62","607,117.91","655,281.98","686,720.71","623,092.62"
1013695,110070716029,Eareckson Air Station,Shemya Island,AK,99506,Unnamed Road,,52.71,-174.11,928110,C,Other,"31,985.67","30,023.80",,,,,,,,
1011829,110060284552,Eklutna Generation Station,Chugiak,AK,99567,28705 Dena'ina Elders Road,MATANUSKA-SUSITNA BOROUGH,61.48,-149.15,221112,C,Power Plants,"318,857.71","327,622.87","278,923.41","338,759.92","363,118.43","265,762.33",,,,
1007491,110044875668,"FLINT HILLS RESOURCES ALASKA, LLC",NORTH POLE,AK,99705,1100 H AND H LANE,FAIRBANKS NORTH STAR,64.74,-147.35,324110,"C,Y",Refineries,,,,863.47,"1,065.96","1,328.05","62,695.32","155,973.29","185,612.13","219,423.73"
1003493,110007236981,GEORGE SULLIVAN PLANT TWO,ANCHORAGE,AK,99504,8900 Starview Drive,ANCHORAGE MUNICIPALITY,61.23,-149.71,221112,C,Power Plants,"204,452.88","288,355.86","379,065.27","378,514.58","343,980.10","361,125.83","297,449.62","316,487.80","582,911.44","604,516.67"
1001810,110064086509,GOLDEN VALLEY ELECTRIC ASSOC NORTH POLE POWER PLANT,NORTH POLE,AK,99705,1150 H & H LN,FAIRBANKS NORTH STAR BOROUGH,64.74,-147.35,221112,C,Power Plants,"295,272.34","310,179.65","250,883.46","318,505.96","280,695.22","222,352.26","195,204.80","226,849.40","369,996.51","297,118.21"
1007068,110000602250,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,HEALY,AK,99743,2.5 Mile HEALY SPUR ROAD,DENALI BOROUGH,63.86,-148.95,221112,C,Power Plants,"603,359.19","571,992.52","460,330.89","293,580.16","331,761.07","403,139.72","297,142.36","306,774.25","345,565.08","282,534.98"
1001942,110064853886,Granite Point Platform,Anchorage,AK,99503,,KENAI PENINSULA,60.96,-151.33,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"29,678.05","26,025.60","31,071.38","28,868.70","23,053.31","23,683.51","28,798.69","22,407.51","25,843.35","26,278.76"
1001761,110059019235,Grayling Platform,Anchorage,AK,99503,,KENAI PENINSULA,60.84,-151.62,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"70,841.86","79,103.00","73,408.11","65,141.93","99,240.32","123,639.51","96,495.27","110,707.14","136,466.82","98,500.83"
1003492,110021331664,HANK NIKKELS PLANT ONE,ANCHORAGE,AK,99501,821 EAST FIRST AVENUE,ANCHORAGE MUNICIPALITY,61.22,-149.87,221112,C,Power Plants,"6,362.22","12,156.65","21,076.32","34,704.32","28,806.64","30,495.84","22,905.82","19,097.93","36,153.42","58,152.23"
1006162,110032882735,Hecla Greens Creek Mine,Juneau,AK,99801,3000 Vintage Blvd 300,JUNEAU CITY AND BOROUGH,58.08,-134.64,212230,C,Other,"14,596.52","51,692.12",,,"6,178.35","5,024.82","3,864.79","26,549.27","8,279.67","28,610.74"
1002805,110007920544,"Hilcorp Alaska, LLC Kenai Gas Field Pad 14-6",Kenai,AK,99611,35350 Kalifornsky Beach Road,KENAI PENINSULA,60.48,-151.27,211111,C,Petroleum and Natural Gas Systems,,,,,,"36,680.51","25,916.05",,,
1006688,110043969382,INTERIOR GAS UTILITY - LNG PLANT #1,BIG LAKE,AK,99652,25849 W Ayrshire Rd,MATANUSKA-SUSITNA BOROUGH,61.43,-150.09,221210,NN-LDC,Natural Gas and Natural Gas Liquids Suppliers,,,,,,,,987.70,"3,141.89","1,898.19"
1010606,110046491854,International Station Power Plant,Anchorage,AK,99518,6075 Electron Drive,ANCHORAGE MUNICIPALITY,61.17,-149.91,221112,C,Power Plants,"461,837.76","477,658.35","498,519.52","497,919.88","514,899.61","510,142.63","523,176.48","540,349.36","53,650.65",
1001944,110007919985,King Salmon Platform,Anchorage,AK,99503,,KENAI PENINSULA,60.86,-151.61,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"46,511.00","46,509.59","58,478.00","87,687.83","78,561.79","76,530.33","72,564.23","71,053.17","74,523.97","38,989.11"
1001628,110070081799,LISBURNE PRODUCTION CENTER,Prudhoe Bay,AK,99734,,NORTH SLOPE BOROUGH,70.29,-148.43,211120,"C,W-PROC",Petroleum and Natural Gas Systems,"669,975.73","634,438.51","677,233.06","682,448.83","677,985.13","701,549.65","666,640.05","716,299.17","709,876.04","710,687.45"
1005410,110064365734,MGS Platform A,Offshore,AK,00000,,KENAI PENINSULA BOROUGH,60.80,-151.50,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"23,862.44","23,128.80","25,973.38","17,409.81","25,026.39","32,494.90","31,107.23","26,478.95","30,099.82","29,459.73"
1006029,110041404325,MGS Platform C,Offshore,AK,00000,,KENAI PENINSULA,60.76,-151.50,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"20,190.76","21,570.60","19,987.14","16,024.26","22,153.75","29,148.06","24,470.93","34,561.91","39,573.25","37,834.20"
1001645,110064404700,"MILNE POINT PRODUCTION FACILITY, CENTRAL FACILITY PAD AND E-PAD",Milne Point Unit,AK,99734,,NORTH SLOPE,70.46,-149.44,211111,C,Petroleum and Natural Gas Systems,,,,,,"168,335.12","183,053.86","178,857.11","170,426.17","175,485.08"
